name,number,street,city,state,zip,country,nhood,phone,employees,sales_vol,full_add
Aram's Pizza & Subs,345,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 354-5154,5,280000,345 Cambridge St
Arby's,1385,Cambridge St # 1,Cambridge,MA,02139,USA,Inman Square,(309) 692-0205,20,1119000,1385 Cambridge St # 1
Area Four Cambridge,500,Technology Sq # 4,Cambridge,MA,02139,USA,Kendall Square,(617) 758-4444,6,336000,500 Technology Sq # 4
Ariadne Clifton Inc,16,Parker St,Cambridge,MA,02138,USA,West Cambridge,(617) 354-3681,1,56000,16 Parker St
Armando's Pizza,163,Huron Ave,Cambridge,MA,02138,USA,West Cambridge,(617) 354-8275,3,168000,163 Huron Ave
Artbar,40,Edwin H Land Blvd,Cambridge,MA,02142,USA,East Cambridge,(617) 806-4122,10,560000,40 Edwin H Land Blvd
Asgard,350,Massachusetts Ave # 102,Cambridge,MA,02139,USA,Cambridgeport,(617) 577-9100,48,2684000,350 Massachusetts Ave # 102
Asmara Restaurant,739,Massachusetts Ave,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 864-7447,5,280000,739 Massachusetts Ave
Atasca Broadway,279,Broadway,Cambridge,MA,02139,USA,Inman Square,(617) 354-4355,6,336000,279 Broadway
Atomic Bean Cafe,904,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 499-0972,6,336000,904 Massachusetts Ave
Atomic Bean Cafe,902,Massachusetts Ave,Cambridge,MA,02139,USA,,(617) 499-0972,6,336000,902 Massachusetts Ave
Au Bon Pain,684,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 492-0884,21,1175000,684 Massachusetts Ave
Au Bon Pain,238,Main St,Cambridge,MA,02142,USA,Kendall Square,(617) 491-9751,30,1678000,238 Main St
Au Bon Pain,120,Vassar St # W-35,Cambridge,MA,02139,USA,Mit,(617) 253-6325,1,56000,120 Vassar St # W-35
Au Bon Pain,100,Cambridgeside Pl # 137,Cambridge,MA,02141,USA,East Cambridge,(617) 225-0347,22,1230000,100 Cambridgeside Pl # 137
B & B Snack Bar,55,Broadway,Cambridge,MA,02142,USA,Kendall Square,(617) 494-2447,3,273000,55 Broadway
Bab Al Amoud Cafe,148,150 Western Ave,Cambridge,MA,02139,USA,,(617) 945-0733,6,0,148 150 Western Ave
Bagelsaurus,1796,Massachusetts Ave,Cambridge,MA,02140,USA,Neighborhood Nine,(857) 285-6103,6,0,1796 Massachusetts Ave
Bailey & Sage,355,Main St # 103,Cambridge,MA,02142,USA,,(617) 714-4138,9,504000,355 Main St # 103
Bambara Restaurant,25,Edwin H Land Blvd,Cambridge,MA,02141,USA,East Cambridge,(617) 868-4444,30,1678000,25 Edwin H Land Blvd
Bao Nation,571,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 547-0295,6,336000,571 Massachusetts Ave
Baraka Cafe,1728,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 868-3951,2,112000,1728 Massachusetts Ave
Basha Ethiopian Rstrnt & Bar,26,New St,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 945-7683,6,336000,26 New St
Basil Tree Inc,10,Fawcett St,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 776-9100,30,1678000,10 Fawcett St
Basta Pasta,319,Western Ave,Cambridge,MA,02139,USA,Riverside,(617) 576-6672,2,112000,319 Western Ave
Bean Town Taqueria,245,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 441-8689,2,112000,245 Massachusetts Ave
Beantown Taqueria,148,Western Ave,Cambridge,MA,02139,USA,,(617) 864-6969,6,336000,148 Western Ave
Beantowne Coffee House,1,Kendall Sq # B2105,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 621-7900,7,392000,1 Kendall Sq # B2105
Beat Hotel,13,Brattle St,Cambridge,MA,02138,USA,Harvard Square,(617) 499-0001,99,5535000,13 Brattle St
Beauty's Pizza,187,Hampshire St,Cambridge,MA,02139,USA,Inman Square,(617) 876-6969,6,0,187 Hampshire St
Beijing Tokyo,781,Main St,Cambridge,MA,02139,USA,Area IV,(617) 354-3388,8,448000,781 Main St
Belliful,333,Harvard St # 4,Cambridge,MA,02139,USA,Mid-Cambridge,(847) 409-7978,1,56000,333 Harvard St # 4
Belly Wine Bar,1,Kendall Sq,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 494-0968,6,336000,1 Kendall Sq
Ben & Jerry's,36,Jfk St # 13,Cambridge,MA,02138,USA,Harvard Square,(617) 864-2828,11,615000,36 Jfk St # 13
Berryline,1,Arrow St,Cambridge,MA,02138,USA,Riverside,(617) 868-3500,10,560000,1 Arrow St
Bertucci's,799,Main St,Cambridge,MA,02139,USA,Area IV,(617) 661-8356,50,2796000,799 Main St
Bertucci's,21,Brattle St,Cambridge,MA,02138,USA,Harvard Square,(617) 864-4748,45,2516000,21 Brattle St
Bertucci's,5,Cambridgepark Dr # 1,Cambridge,MA,02140,USA,North Cambridge,(617) 876-2200,65,3635000,5 Cambridgepark Dr # 1
Bisuteki Tokyo Japanese Steak,777,Memorial Dr,Cambridge,MA,02139,USA,Cambridgeport,(617) 497-8888,6,336000,777 Memorial Dr
Black Sheep Rstrnt At,350,Main St,Cambridge,MA,02142,USA,Kendall Square,(617) 577-1300,10,560000,350 Main St
Blaze Pizza,1,Canal Park,Cambridge,MA,02141,USA,East Cambridge,(857) 220-9400,3,336000,1 Canal Park
Blue Fin,1815,Massachusetts Ave # 3,Cambridge,MA,02140,USA,Porter Square,(617) 497-8022,12,671000,1815 Massachusetts Ave # 3
Blue Room,1,Kendall Sq # B2001,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 494-9034,75,4194000,1 Kendall Sq # B2001
Boca Grande,1728,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 354-7400,15,839000,1728 Massachusetts Ave
Boca Grande Taqueria,149,1st St,Cambridge,MA,02142,USA,East Cambridge,(617) 354-5550,5,280000,149 1st St
Boloco,71,Mount Auburn St,Cambridge,MA,02138,USA,Harvard Square,(617) 354-5838,9,504000,71 Mount Auburn St
Bom Cafe,1093,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 864-0395,10,560000,1093 Cambridge St
Bon Appetit Caterers,96,Concord Ave,Cambridge,MA,02138,USA,Huron Village,(617) 484-4900,4,224000,96 Concord Ave
Bon Appetit Management Co,31,Everett St,Cambridge,MA,02138,USA,Aggasiz - Harvard University,(617) 349-8380,47,2628000,31 Everett St
Bon Me,201,Alewife Brook Pkwy,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 945-2822,6,336000,201 Alewife Brook Pkwy
Bon Me,1,Kendall Sq # B3105,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 945-2615,6,336000,1 Kendall Sq # B3105
Bonchon Chicken,57,Jfk St # 5,Cambridge,MA,02138,USA,Harvard Square,(617) 868-0981,10,560000,57 Jfk St # 5
Border Cafe-Cambridge,32,Church St,Cambridge,MA,02138,USA,Harvard Square,(617) 864-6100,110,6150000,32 Church St
Bosphorus Mediterranean Rstrnt,1164,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 945-2730,6,336000,1164 Cambridge St
Boston Burger Co,1105,Massachusetts Ave,Cambridge,MA,02138,USA,Mid-Cambridge,(857) 242-3605,6,336000,1105 Massachusetts Ave
Bridgesteet Restaurant,1166,Cambridge St,Cambridge,MA,02139,USA,,(857) 242-3103,6,336000,1166 Cambridge St
Broadway Market Place LLC,468,Broadway # 2,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 547-2334,3,840000,468 Broadway # 2
Brookline Lunch,9,Brookline St,Cambridge,MA,02139,USA,Cambridgeport,(617) 354-2983,2,112000,9 Brookline St
Bruegger's Bagels,1876,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 576-6163,10,548000,1876 Massachusetts Ave
B-Side Lounge,92,Hampshire St,Cambridge,MA,02139,USA,Area IV,(617) 354-0766,6,336000,92 Hampshire St
Bukowski's Tavern,1281,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 497-7077,12,671000,1281 Cambridge St
Burger King,679,Concord Ave,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 354-2375,24,1342000,679 Concord Ave
Burger King,100,Cambridgeside Pl # W226,Cambridge,MA,02141,USA,East Cambridge,(617) 494-4843,22,1230000,100 Cambridgeside Pl # W226
Bytes At University Park MIT,64,Sidney St # 1,Cambridge,MA,02139,USA,Cambridgeport,(617) 621-3513,1,56000,64 Sidney St # 1
Cafe Anthony 983,983,Massachusetts Ave,Cambridge,MA,02138,USA,,(617) 945-2687,6,336000,983 Massachusetts Ave
Cafe Luna,403,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 576-3400,2,112000,403 Massachusetts Ave
Cafe Mami,1815,Massachusetts Ave # P7,Cambridge,MA,02140,USA,Porter Square,(617) 547-9130,4,224000,1815 Massachusetts Ave # P7
Cafe Pamplona,12,Bow St,Cambridge,MA,02138,USA,Riverside,(617) 492-0352,6,336000,12 Bow St
Cafe Sushi,1105,Massachusetts Ave,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 492-0434,10,560000,1105 Massachusetts Ave
Cafe Zing,25,White St,Cambridge,MA,02140,USA,Porter Square,(617) 497-9464,5,280000,25 White St
California Pizza Kitchen,100,Cambridgeside Pl # W102,Cambridge,MA,02141,USA,East Cambridge,(617) 225-2772,100,5591000,100 Cambridgeside Pl # W102
Cambridge 1-Cambridge,27,Church St,Cambridge,MA,02138,USA,Harvard Square,(617) 576-1111,31,1734000,27 Church St
Cambridge Brewing Co,1,Kendall Sq # B1102,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 494-1994,35,1957000,1 Kendall Sq # B1102
Cambridge Common,1667,Massachusetts Ave,Cambridge,MA,02138,USA,Aggasiz - Harvard University,(617) 547-1228,50,2796000,1667 Massachusetts Ave
Cambridge Deli & Grill,90,River St,Cambridge,MA,02139,USA,Cambridgeport,(617) 868-6740,2,112000,90 River St
Cambridge House Of Pizza,2420,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 876-8083,3,168000,2420 Massachusetts Ave
Cambridge Savings Bank,1378,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 864-8700,75,17838000,1378 Cambridge St
Cambridge Wine & Spirits,202,Alewife Brook Pkwy,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 864-7171,6,336000,202 Alewife Brook Pkwy
Cambridge Winter Farmers Mkt,5,Callender St,Cambridge,MA,02139,USA,Riverside,(617) 547-6811,1,336000,5 Callender St
Camie's,152,Columbia St,Cambridge,MA,02139,USA,Area IV,(617) 661-4878,3,168000,152 Columbia St
Cancun Taqueria,1105,Massachusetts Ave # 5,Cambridge,MA,02138,USA,Mid-Cambridge,(857) 242-3344,6,336000,1105 Massachusetts Ave # 5
Cantab Lounge,738,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 354-2685,10,537000,738 Massachusetts Ave
Casa Portugal,1200,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 491-8880,6,336000,1200 Cambridge St
Casbah,26,New St # 2,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 945-7314,6,336000,26 New St # 2
Catalyst Restaurant,300,Technology Sq # 3,Cambridge,MA,02139,USA,Kendall Square,(617) 576-3000,30,1678000,300 Technology Sq # 3
Central Brew Cafe & Espresso,350,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 250-8471,5,280000,350 Massachusetts Ave
Central Kitchen,567,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 491-5599,20,1119000,567 Massachusetts Ave
C'Est Bon,1432,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 661-1709,6,336000,1432 Massachusetts Ave
Champions-Kendall Square,50,Broadway,Cambridge,MA,02142,USA,,(617) 252-4444,6,336000,50 Broadway
Chang Shing Tofu Inc,37,Rogers St,Cambridge,MA,02142,USA,East Cambridge,(617) 868-8878,8,13803000,37 Rogers St
Changsho Restaurant,1712,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 547-6565,20,1119000,1712 Massachusetts Ave
Charles Hotel,1,Bennett St,Cambridge,MA,02138,USA,Harvard Square,(617) 864-1200,400,45624000,1 Bennett St
Charles River Boat Co,100,Cambridgeside Pl # 309,Cambridge,MA,02141,USA,East Cambridge,(617) 621-3001,4,224000,100 Cambridgeside Pl # 309
Charlie's Kitchen,10,Eliot St,Cambridge,MA,02138,USA,Harvard Square,(617) 492-9646,30,1678000,10 Eliot St
Cheesecake Factory,100,Cambridgeside Pl # E102,Cambridge,MA,02141,USA,,(617) 252-3810,250,13978000,100 Cambridgeside Pl # E102
Chiang Mai Thai Cambridge Inc,100,Cambridgeside Pl,Cambridge,MA,02141,USA,East Cambridge,(617) 577-0250,6,336000,100 Cambridgeside Pl
Chicago Pizza,239,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 497-5555,2,112000,239 Massachusetts Ave
Chicken Now,100,Cambridgeside Pl # 158,Cambridge,MA,02141,USA,East Cambridge,(617) 225-2220,8,448000,100 Cambridgeside Pl # 158
Chipotle Mexican Grill,598,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(857) 500-4066,21,1175000,598 Massachusetts Ave
Chipotle Mexican Grill,238,Walden St,Cambridge,MA,02140,USA,Neighborhood Nine,(617) 491-0688,21,1175000,238 Walden St
Chipotle Mexican Grill,227,Alewife Brook Pkwy,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 500-9373,21,1175000,227 Alewife Brook Pkwy
Chipotle Mexican Grill,100,Cambridgeside Pl # F21,Cambridge,MA,02141,USA,East Cambridge,(857) 500-4730,21,1175000,100 Cambridgeside Pl # F21
Chipotle Mexican Grill,50,Broadway,Cambridge,MA,02142,USA,,(857) 500-4031,21,1175000,50 Broadway
Chipotle Mexican Grill,1,Brattle Sq # 2,Cambridge,MA,02138,USA,,(617) 491-0677,19,1063000,1 Brattle Sq # 2
Cho Cho's,1815,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 868-4246,2,112000,1815 Massachusetts Ave
Christina's Homemade Ice Cream,1255,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 492-7021,11,615000,1255 Cambridge St
Christopher's,1920,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 876-9180,50,2796000,1920 Massachusetts Ave
Church Street Creole Cafe Inc,32,Church St,Cambridge,MA,02138,USA,Harvard Square,(302) 633-6400,6,336000,32 Church St
Chutney's,36,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 491-2545,5,280000,36 Jfk St
Cinderella's Restaurant,901,Main St,Cambridge,MA,02139,USA,Area IV,(617) 576-0280,13,727000,901 Main St
City Girl Caffe,204,Hampshire St,Cambridge,MA,02139,USA,Inman Square,(617) 864-2809,3,168000,204 Hampshire St
Classic Restaurant Concepts,649,Massachusetts Ave # 7,Cambridge,MA,02139,USA,Area IV,(617) 371-0901,3,168000,649 Massachusetts Ave # 7
Clover,7,Holyoke St,Cambridge,MA,02138,USA,Harvard Square,(401) 965-2544,60,3355000,7 Holyoke St
Clover Food Lab-Hub,1075,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 562-2435,6,336000,1075 Cambridge St
Coast Cafe,233,River St,Cambridge,MA,02139,USA,Cambridgeport,(617) 354-7644,3,168000,233 River St
Commonwealth,11,Broad Canal Way,Cambridge,MA,02142,USA,,(617) 945-7030,15,839000,11 Broad Canal Way
Concord Avenue Cafe,294,Concord Ave,Cambridge,MA,02138,USA,West Cambridge,(617) 547-8835,2,112000,294 Concord Ave
Conroy Commons,13,Appian Way,Cambridge,MA,02138,USA,Harvard Square,(617) 495-2453,3,168000,13 Appian Way
Coop Cafe,1400,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 499-2240,6,336000,1400 Massachusetts Ave
Copacabana Pizza & Grill Inc,2378,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 714-3576,6,336000,2378 Massachusetts Ave
Cosi,290,Main St # 6,Cambridge,MA,02142,USA,Kendall Square,(617) 868-5810,40,2237000,290 Main St # 6
Courthouse Fish Market,498,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 491-1213,3,168000,498 Cambridge St
Courtside Restaurant & Karaoke,291,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 547-4374,6,336000,291 Cambridge St
Courtyard-Boston,777,Memorial Dr,Cambridge,MA,02139,USA,Cambridgeport,(617) 492-7777,125,14258000,777 Memorial Dr
Craigie On Main,853,Main St,Cambridge,MA,02139,USA,Area IV,(617) 497-5511,40,2237000,853 Main St
Crazy Dough's Pizza Co,36,Jfk St # 3,Cambridge,MA,02138,USA,Harvard Square,(617) 492-4848,10,560000,36 Jfk St # 3
Crema Cafe,27,Brattle St,Cambridge,MA,02138,USA,Harvard Square,(617) 876-2700,30,1678000,27 Brattle St
Cuchi Cuchi,795,Main St,Cambridge,MA,02139,USA,Area IV,(617) 864-2929,30,1678000,795 Main St
Curry N Wok,2378,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(857) 259-6552,6,336000,2378 Massachusetts Ave
Curry Thai,569,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 868-6644,6,336000,569 Cambridge St
Dado Tea,955,Massachusetts Ave # 4,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 497-9061,6,336000,955 Massachusetts Ave # 4
Dado Tea 50 Church Street,50,Church St,Cambridge,MA,02138,USA,Harvard Square,(617) 547-0950,5,280000,50 Church St
D'Angelo Grilled Sandwiches,100,Cambridgeside Pl # F19,Cambridge,MA,02141,USA,East Cambridge,(617) 225-0707,13,727000,100 Cambridgeside Pl # F19
Dante,40,Edwin H Land Blvd,Cambridge,MA,02142,USA,East Cambridge,(617) 497-4200,60,3355000,40 Edwin H Land Blvd
Dante,5,Cambridge Pkwy,Cambridge,MA,02142,USA,Kendall Square,(617) 497-4200,6,336000,5 Cambridge Pkwy
Darul Kabab Inc,2072,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 354-4010,4,224000,2072 Massachusetts Ave
Darwins Limited,313,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 497-1000,3,168000,313 Massachusetts Ave
Darwin's LTD,148,Mount Auburn St,Cambridge,MA,02138,USA,West Cambridge,(617) 354-5233,18,1007000,148 Mount Auburn St
Darwin's LTD-Cambridge St,1629,Cambridge St,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 491-2999,20,1119000,1629 Cambridge St
Davidstea,39,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 547-0483,5,532000,39 Jfk St
Desfina,202,3rd St,Cambridge,MA,02141,USA,East Cambridge,(617) 868-9098,2,112000,202 3rd St
Desi Dhaba,401,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 547-4121,5,280000,401 Massachusetts Ave
Dimitrios Cuisine,272,Brookline St,Cambridge,MA,02139,USA,Cambridgeport,(617) 497-4037,6,336000,272 Brookline St
Discovery Cafe,301,Binney St,Cambridge,MA,02142,USA,East Cambridge,(617) 252-0809,6,336000,301 Binney St
Discovery Cafe,157,6th St,Cambridge,MA,02142,USA,East Cambridge,(617) 227-1626,15,839000,157 6th St
Domino's,1033,Massachusetts Ave,Cambridge,MA,02138,USA,Riverside,(617) 577-0066,15,839000,1033 Massachusetts Ave
Dosa Factory-Cambridge,571,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 868-3672,6,336000,571 Massachusetts Ave
Downstairs Cafe,222,3rd St # 321,Cambridge,MA,02142,USA,,(617) 868-8100,4,224000,222 3rd St # 321
Druid,1357,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 497-0965,3,168000,1357 Cambridge St
Dumpling House,950,Massachusetts Ave # 3,Cambridge,MA,02139,USA,Riverside,(617) 661-8066,10,560000,950 Massachusetts Ave # 3
Dunkin' Donuts,2480,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 491-1400,12,658000,2480 Massachusetts Ave
Dunkin' Donuts,1001,Cambridge St,Cambridge,MA,02141,USA,Wellington - Harrington,(617) 864-8900,10,548000,1001 Cambridge St
Dunkin' Donuts,1001,Massachusetts Ave # 1,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 714-4242,12,658000,1001 Massachusetts Ave # 1
Dunkin' Donuts,808,Memorial Dr,Cambridge,MA,02139,USA,Cambridgeport,(617) 492-0758,12,658000,808 Memorial Dr
Dunkin' Donuts,616,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 354-8944,12,658000,616 Massachusetts Ave
Dunkin' Donuts,517,Concord Ave,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 491-8050,20,1096000,517 Concord Ave
Dunkin' Donuts,222,Broadway,Cambridge,MA,02139,USA,Area IV,(617) 868-0259,11,603000,222 Broadway
Dunkin' Donuts,201,Alewife Brook Pkwy,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 492-9107,10,548000,201 Alewife Brook Pkwy
Dunkin' Donuts,100,Cambridgeside Pl # 125,Cambridge,MA,02141,USA,East Cambridge,(617) 577-9042,2,172000,100 Cambridgeside Pl # 125
Dunkin' Donuts,84,Massachusetts Ave # W20,Cambridge,MA,02139,USA,Mit,(617) 452-4089,12,658000,84 Massachusetts Ave # W20
Dunkin' Donuts,65,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 354-5096,7,384000,65 Jfk St
Dunkin' Donuts,5,3rd St,Cambridge,MA,02141,USA,East Cambridge,(617) 547-9622,15,822000,5 3rd St
Dunkin' Donuts,5,Cambridgepark Dr # 3,Cambridge,MA,02140,USA,North Cambridge,(617) 491-6400,11,603000,5 Cambridgepark Dr # 3
Dunkin' Donuts,1,Broadway # 2,Cambridge,MA,02142,USA,Kendall Square,(617) 945-9627,11,603000,1 Broadway # 2
Dunkin' Donuts,1,White St,Cambridge,MA,02140,USA,Porter Square,(617) 354-8336,10,548000,1 White St
Dwell Time,364,Broadway,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 714-5536,15,839000,364 Broadway
Eastside Bar & Grill,561,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 661-3278,8,430000,561 Cambridge St
Einstein Bros Bagels,325,Main St,Cambridge,MA,02142,USA,,(617) 714-3687,15,822000,325 Main St
El Jefe's Taqueria,83,Mount Auburn St,Cambridge,MA,02138,USA,Harvard Square,(617) 945-1986,6,336000,83 Mount Auburn St
Elephant Walk The-Cambridge,2067,Massachusetts Ave # 5,Cambridge,MA,02140,USA,Porter Square,(617) 492-6900,45,2516000,2067 Massachusetts Ave # 5
Elm Street LLC,635,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(857) 285-6172,6,336000,635 Cambridge St
Emack & Bolio's Ice Cream,23,White St,Cambridge,MA,02140,USA,Porter Square,(617) 492-1907,4,224000,23 White St
Emma's Pizza,40,Hampshire St,Cambridge,MA,02139,USA,Area IV,(617) 864-8534,6,336000,40 Hampshire St
Evoo,350,3rd St # 1,Cambridge,MA,02142,USA,Kendall Square,(617) 661-3866,60,3355000,350 3rd St # 1
Falafel Corner Halal Middle,8,1/2 Eliot St,Cambridge,MA,02138,USA,Harvard Square,(617) 441-8888,5,280000,8 1/2 Eliot St
Felipe's Taqueria,21,Brattle St,Cambridge,MA,02138,USA,Harvard Square,(617) 354-9944,24,1342000,21 Brattle St
Field Pub,20,Prospect St,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 354-7345,5,280000,20 Prospect St
Fine Indian Cuisine,251,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 492-7232,6,336000,251 Cambridge St
Fiorella S Express Cambridge,2401,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 868-9900,6,336000,2401 Massachusetts Ave
Fire & Ice,50,Church St # 101,Cambridge,MA,02138,USA,Harvard Square,(617) 547-9007,99,5535000,50 Church St # 101
Firebrand Saints,1,Broadway,Cambridge,MA,02142,USA,Kendall Square,(617) 401-3399,30,1678000,1 Broadway
Fishmonger,252,Huron Ave,Cambridge,MA,02138,USA,West Cambridge,(617) 661-4834,2,112000,252 Huron Ave
Flame Asian Restaurant,1001,Massachusetts Ave,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 945-0080,6,336000,1001 Massachusetts Ave
Flat Patties,33,Brattle St,Cambridge,MA,02138,USA,Harvard Square,(617) 871-6871,6,336000,33 Brattle St
Flat Top Johnny's,1,Kendall Sq # B2104,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 494-9565,15,1007000,1 Kendall Sq # B2104
